iter	Logloss
0	0.6887831527
1	0.6847902444
2	0.681137564
3	0.6777960027
4	0.671683598
5	0.6643746474
6	0.6590164289
7	0.6553113522
8	0.6514493846
9	0.6459526504
10	0.6420689581
11	0.6388942885
12	0.6345292968
13	0.631473979
14	0.6286650271
15	0.6253581921
16	0.6218935682
17	0.6201715624
18	0.6185157601
19	0.6159455005
20	0.6137243207
21	0.6120560379
22	0.6091390546
23	0.6054045481
24	0.6004642843
25	0.597554174
26	0.5946497241
27	0.5923117588
28	0.5907980996
29	0.5889356686
30	0.5861966125
31	0.5837716488
32	0.5814843751
33	0.5797008891
34	0.5772502927
35	0.5752443821
36	0.5730217671
37	0.5713050139
38	0.5685582878
39	0.5676855257
40	0.5658974072
41	0.5649339017
42	0.5635578441
43	0.5628060239
44	0.5617735095
45	0.5594682832
46	0.5576851438
47	0.5562434554
48	0.5542979133
49	0.5518871707
50	0.5495877829
51	0.5484465025
52	0.5479005314
53	0.5469027086
54	0.5459335909
55	0.5442765775
56	0.5431914304
57	0.5417585436
58	0.5403852838
59	0.5387773686
60	0.5382949756
61	0.537071312
62	0.5336230613
63	0.5330921115
64	0.5319446289
65	0.5301977871
66	0.5277543438
67	0.5261838431
68	0.5259918393
69	0.5241800102
70	0.5235018967
71	0.5222599449
72	0.5218663312
73	0.5202674311
74	0.5185344105
75	0.5168907973
76	0.5165478199
77	0.51511184
78	0.5149378473
79	0.5144301193
80	0.5142216741
81	0.5122218917
82	0.5104261533
83	0.5089136882
84	0.5075095404
85	0.5061637155
86	0.5034104913
87	0.5030894403
88	0.5023109283
89	0.5010037914
90	0.4989253557
91	0.4973951552
92	0.495468772
93	0.4953004265
94	0.495113449
95	0.4947476543
96	0.4945036342
97	0.4932793662
98	0.4915996066
99	0.4909302054
100	0.4905752326
101	0.4894878318
102	0.4884820323
103	0.4881056313
104	0.4869236521
105	0.4857171115
106	0.4847455053
107	0.4834241457
108	0.4828329188
109	0.482050337
110	0.481789198
111	0.4815496072
112	0.4812760211
113	0.4801646184
114	0.4798074429
115	0.4785516789
116	0.4783693308
117	0.4780983945
118	0.4775312448
119	0.4759633129
120	0.4757224162
121	0.4748189347
122	0.4744715443
123	0.4732328753
124	0.4730571773
125	0.4717960308
126	0.4715366978
127	0.4706163203
128	0.470515212
129	0.469833899
130	0.469257248
131	0.469135867
132	0.4684113352
133	0.4676032499
134	0.4666848495
135	0.4660153212
136	0.4651326799
