iter	Passed	Remaining
0	5	1401
1	11	1348
2	19	1546
3	27	1628
4	51	2429
5	76	2993
6	100	3347
7	124	3624
8	147	3812
9	171	3960
10	196	4101
11	220	4210
12	243	4277
13	268	4350
14	291	4394
15	315	4435
16	339	4474
17	364	4513
18	388	4539
19	412	4553
20	435	4562
21	458	4568
22	482	4576
23	506	4582
24	530	4583
25	554	4582
26	578	4583
27	605	4608
28	630	4612
29	654	4602
30	678	4597
31	702	4589
32	726	4577
33	749	4563
34	772	4547
35	796	4534
36	820	4522
37	844	4511
38	868	4496
39	891	4477
40	914	4459
41	938	4446
42	961	4429
43	987	4421
44	1012	4411
45	1038	4400
46	1062	4384
47	1085	4363
48	1108	4343
49	1131	4322
50	1154	4301
51	1178	4281
52	1202	4266
53	1227	4250
54	1252	4234
55	1276	4216
56	1301	4200
57	1324	4179
58	1347	4156
59	1370	4134
60	1393	4111
61	1416	4090
62	1440	4069
63	1463	4046
64	1486	4024
65	1509	4002
66	1540	4000
67	1563	3978
68	1587	3956
69	1613	3942
70	1638	3922
71	1661	3900
72	1685	3879
73	1709	3858
74	1732	3834
75	1755	3811
76	1778	3788
77	1802	3767
78	1827	3746
79	1850	3724
80	1874	3701
81	1898	3680
82	1922	3659
83	1947	3639
84	1970	3616
85	1994	3594
86	2017	3571
87	2041	3549
88	2064	3526
89	2087	3502
90	2111	3479
91	2134	3456
92	2158	3434
93	2181	3411
94	2204	3388
95	2228	3365
96	2251	3342
97	2274	3318
98	2298	3296
99	2322	3274
100	2345	3250
101	2368	3227
102	2392	3205
103	2415	3181
104	2438	3158
105	2462	3135
106	2486	3113
107	2510	3091
108	2533	3068
109	2557	3045
110	2580	3022
111	2604	2999
112	2629	2978
113	2654	2956
114	2677	2933
115	2701	2910
116	2724	2887
117	2748	2864
118	2771	2841
119	2795	2818
120	2818	2795
121	2842	2772
122	2865	2749
123	2889	2726
124	2913	2703
125	2938	2681
126	2962	2659
127	2986	2636
128	3010	2613
129	3034	2590
130	3056	2566
131	3079	2543
132	3102	2519
133	3127	2497
134	3151	2474
135	3175	2452
136	3199	2429
